Survived,Pclass,Sex,Age,SibSp,Parch,Fare,AgeGroup
0,3,male,22.0,1,0,7.25,Adult
1,1,female,38.0,1,0,71.2833,Adult
1,3,female,26.0,0,0,7.925,Adult
1,1,female,35.0,1,0,53.1,Adult
0,3,male,35.0,0,0,8.05,Adult
0,3,male,28.0,0,0,8.4583,Adult
0,1,male,54.0,0,0,51.8625,Adult
0,3,male,2.0,3,1,21.075,Child
1,3,female,27.0,0,2,11.1333,Adult
1,2,female,14.0,1,0,30.0708,Teenager
1,3,female,4.0,1,1,16.7,Child
1,1,female,58.0,0,0,26.55,Adult
0,3,male,20.0,0,0,8.05,Adult
0,3,male,39.0,1,5,31.275,Adult
0,3,female,14.0,0,0,7.8542,Teenager
1,2,female,55.0,0,0,16.0,Adult
0,3,male,2.0,4,1,29.125,Child
1,2,male,28.0,0,0,13.0,Adult
0,3,female,31.0,1,0,18.0,Adult
1,3,female,28.0,0,0,7.225,Adult
0,2,male,35.0,0,0,26.0,Adult
1,2,male,34.0,0,0,13.0,Adult
1,3,female,15.0,0,0,8.0292,Teenager
1,1,male,28.0,0,0,35.5,Adult
0,3,female,8.0,3,1,21.075,Child
1,3,female,38.0,1,5,31.3875,Adult
0,3,male,28.0,0,0,7.225,Adult
0,1,male,19.0,3,2,263.0,Adult
1,3,female,28.0,0,0,7.8792,Adult
0,3,male,28.0,0,0,7.8958,Adult
0,1,male,40.0,0,0,27.7208,Adult
1,1,female,28.0,1,0,146.5208,Adult
1,3,female,28.0,0,0,7.75,Adult
0,2,male,66.0,0,0,10.5,Elderly
0,1,male,28.0,1,0,82.1708,Adult
0,1,male,42.0,1,0,52.0,Adult
1,3,male,28.0,0,0,7.2292,Adult
0,3,male,21.0,0,0,8.05,Adult
0,3,female,18.0,2,0,18.0,Adult
1,3,female,14.0,1,0,11.2417,Teenager
0,3,female,40.0,1,0,9.475,Adult
0,2,female,27.0,1,0,21.0,Adult
0,3,male,28.0,0,0,7.8958,Adult
1,2,female,3.0,1,2,41.5792,Child
1,3,female,19.0,0,0,7.8792,Adult
0,3,male,28.0,0,0,8.05,Adult
0,3,male,28.0,1,0,15.5,Adult
1,3,female,28.0,0,0,7.75,Adult
0,3,male,28.0,2,0,21.6792,Adult
0,3,female,18.0,1,0,17.8,Adult
0,3,male,7.0,4,1,39.6875,Child
0,3,male,21.0,0,0,7.8,Adult
1,1,female,49.0,1,0,76.7292,Adult
1,2,female,29.0,1,0,26.0,Adult
0,1,male,65.0,0,1,61.9792,Elderly
1,1,male,28.0,0,0,35.5,Adult
1,2,female,21.0,0,0,10.5,Adult
0,3,male,28.5,0,0,7.2292,Adult
1,2,female,5.0,1,2,27.75,Child
0,3,male,11.0,5,2,46.9,Child
0,3,male,22.0,0,0,7.2292,Adult
1,1,female,38.0,0,0,80.0,Adult
0,1,male,45.0,1,0,83.475,Adult
0,3,male,4.0,3,2,27.9,Child
0,1,male,28.0,0,0,27.7208,Adult
1,3,male,28.0,1,1,15.2458,Adult
1,2,female,29.0,0,0,10.5,Adult
0,3,male,19.0,0,0,8.1583,Adult
1,3,female,17.0,4,2,7.925,Teenager
0,3,male,26.0,2,0,8.6625,Adult
0,2,male,32.0,0,0,10.5,Adult
0,3,female,16.0,5,2,46.9,Teenager
0,2,male,21.0,0,0,73.5,Adult
0,3,male,26.0,1,0,14.4542,Adult
1,3,male,32.0,0,0,56.4958,Adult
0,3,male,25.0,0,0,7.65,Adult
0,3,male,28.0,0,0,7.8958,Adult
0,3,male,28.0,0,0,8.05,Adult
1,2,male,0.83,0,2,29.0,Child
1,3,female,30.0,0,0,12.475,Adult
0,3,male,22.0,0,0,9.0,Adult
1,3,male,29.0,0,0,9.5,Adult
1,3,female,28.0,0,0,7.7875,Adult
0,1,male,28.0,0,0,47.1,Adult
1,2,female,17.0,0,0,10.5,Teenager
1,3,female,33.0,3,0,15.85,Adult
0,3,male,16.0,1,3,34.375,Teenager
0,3,male,28.0,0,0,8.05,Adult
1,1,female,23.0,3,2,263.0,Adult
0,3,male,24.0,0,0,8.05,Adult
0,3,male,29.0,0,0,8.05,Adult
0,3,male,20.0,0,0,7.8542,Adult
0,1,male,46.0,1,0,61.175,Adult
0,3,male,26.0,1,2,20.575,Adult
0,3,male,59.0,0,0,7.25,Adult
0,3,male,28.0,0,0,8.05,Adult
0,1,male,71.0,0,0,34.6542,Elderly
1,1,male,23.0,0,1,63.3583,Adult
1,2,female,34.0,0,1,23.0,Adult
0,2,male,34.0,1,0,26.0,Adult
0,3,female,28.0,0,0,7.8958,Adult
0,3,male,28.0,0,0,7.8958,Adult
0,1,male,21.0,0,1,77.2875,Adult
0,3,male,33.0,0,0,8.6542,Adult
0,3,male,37.0,2,0,7.925,Adult
0,3,male,28.0,0,0,7.8958,Adult
1,3,female,21.0,0,0,7.65,Adult
1,3,male,28.0,0,0,7.775,Adult
0,3,male,38.0,0,0,7.8958,Adult
1,3,female,28.0,1,0,24.15,Adult
0,1,male,47.0,0,0,52.0,Adult
0,3,female,14.5,1,0,14.4542,Teenager
0,3,male,22.0,0,0,8.05,Adult
0,3,female,20.0,1,0,9.825,Adult
0,3,female,17.0,0,0,14.4583,Teenager
0,3,male,21.0,0,0,7.925,Adult
0,3,male,70.5,0,0,7.75,Elderly
0,2,male,29.0,1,0,21.0,Adult
0,1,male,24.0,0,1,247.5208,Adult
0,3,female,2.0,4,2,31.275,Child
0,2,male,21.0,2,0,73.5,Adult
0,3,male,28.0,0,0,8.05,Adult
0,2,male,32.5,1,0,30.0708,Adult
1,2,female,32.5,0,0,13.0,Adult
0,1,male,54.0,0,1,77.2875,Adult
1,3,male,12.0,1,0,11.2417,Teenager
0,3,male,28.0,0,0,7.75,Adult
1,3,male,24.0,0,0,7.1417,Adult
1,3,female,28.0,1,1,22.3583,Adult
0,3,male,45.0,0,0,6.975,Adult
0,3,male,33.0,0,0,7.8958,Adult
0,3,male,20.0,0,0,7.05,Adult
0,3,female,47.0,1,0,14.5,Adult
1,2,female,29.0,1,0,26.0,Adult
0,2,male,25.0,0,0,13.0,Adult
0,2,male,23.0,0,0,15.0458,Adult
1,1,female,19.0,0,2,26.2833,Adult
0,1,male,37.0,1,0,53.1,Adult
0,3,male,16.0,0,0,9.2167,Teenager
0,1,male,24.0,0,0,79.2,Adult
0,3,female,28.0,0,2,15.2458,Adult
1,3,female,22.0,0,0,7.75,Adult
1,3,female,24.0,1,0,15.85,Adult
0,3,male,19.0,0,0,6.75,Adult
0,2,male,18.0,0,0,11.5,Adult
0,2,male,19.0,1,1,36.75,Adult
1,3,male,27.0,0,0,7.7958,Adult
0,3,female,9.0,2,2,34.375,Child
0,2,male,36.5,0,2,26.0,Adult
0,2,male,42.0,0,0,13.0,Adult
0,2,male,51.0,0,0,12.525,Adult
1,1,female,22.0,1,0,66.6,Adult
0,3,male,55.5,0,0,8.05,Adult
0,3,male,40.5,0,2,14.5,Adult
0,3,male,28.0,0,0,7.3125,Adult
0,1,male,51.0,0,1,61.3792,Adult
1,3,female,16.0,0,0,7.7333,Teenager
0,3,male,30.0,0,0,8.05,Adult
0,3,male,28.0,0,0,8.6625,Adult
0,3,male,28.0,8,2,69.55,Adult
0,3,male,44.0,0,1,16.1,Adult
1,2,female,40.0,0,0,15.75,Adult
0,3,male,26.0,0,0,7.775,Adult
0,3,male,17.0,0,0,8.6625,Teenager
0,3,male,1.0,4,1,39.6875,Child
1,3,male,9.0,0,2,20.525,Child
1,1,female,28.0,0,1,55.0,Adult
0,3,female,45.0,1,4,27.9,Adult
0,1,male,28.0,0,0,25.925,Adult
0,3,male,28.0,0,0,56.4958,Adult
0,1,male,61.0,0,0,33.5,Elderly
0,3,male,4.0,4,1,29.125,Child
1,3,female,1.0,1,1,11.1333,Child
0,3,male,21.0,0,0,7.925,Adult
0,1,male,56.0,0,0,30.6958,Adult
0,3,male,18.0,1,1,7.8542,Adult
0,3,male,28.0,3,1,25.4667,Adult
0,1,female,50.0,0,0,28.7125,Adult
0,2,male,30.0,0,0,13.0,Adult
0,3,male,36.0,0,0,0.0,Adult
0,3,female,28.0,8,2,69.55,Adult
0,2,male,28.0,0,0,15.05,Adult
0,3,male,9.0,4,2,31.3875,Child
1,2,male,1.0,2,1,39.0,Child
1,3,female,4.0,0,2,22.025,Child
0,1,male,28.0,0,0,50.0,Adult
1,3,female,28.0,1,0,15.5,Adult
1,1,male,45.0,0,0,26.55,Adult
0,3,male,40.0,1,1,15.5,Adult
0,3,male,36.0,0,0,7.8958,Adult
1,2,female,32.0,0,0,13.0,Adult
0,2,male,19.0,0,0,13.0,Adult
1,3,female,19.0,1,0,7.8542,Adult
1,2,male,3.0,1,1,26.0,Child
1,1,female,44.0,0,0,27.7208,Adult
1,1,female,58.0,0,0,146.5208,Adult
0,3,male,28.0,0,0,7.75,Adult
0,3,male,42.0,0,1,8.4042,Adult
1,3,female,28.0,0,0,7.75,Adult
0,2,female,24.0,0,0,13.0,Adult
0,3,male,28.0,0,0,9.5,Adult
0,3,male,28.0,8,2,69.55,Adult
0,3,male,34.0,0,0,6.4958,Adult
0,3,male,45.5,0,0,7.225,Adult
1,3,male,18.0,0,0,8.05,Adult
0,3,female,2.0,0,1,10.4625,Child
0,3,male,32.0,1,0,15.85,Adult
1,3,male,26.0,0,0,18.7875,Adult
1,3,female,16.0,0,0,7.75,Teenager
1,1,male,40.0,0,0,31.0,Adult
0,3,male,24.0,0,0,7.05,Adult
1,2,female,35.0,0,0,21.0,Adult
0,3,male,22.0,0,0,7.25,Adult
0,2,male,30.0,0,0,13.0,Adult
0,3,male,28.0,1,0,7.75,Adult
1,1,female,31.0,1,0,113.275,Adult
1,3,female,27.0,0,0,7.925,Adult
0,2,male,42.0,1,0,27.0,Adult
1,1,female,32.0,0,0,76.2917,Adult
0,2,male,30.0,0,0,10.5,Adult
1,3,male,16.0,0,0,8.05,Teenager
0,2,male,27.0,0,0,13.0,Adult
0,3,male,51.0,0,0,8.05,Adult
0,3,male,28.0,0,0,7.8958,Adult
1,1,male,38.0,1,0,90.0,Adult
0,3,male,22.0,0,0,9.35,Adult
1,2,male,19.0,0,0,10.5,Adult
0,3,male,20.5,0,0,7.25,Adult
0,2,male,18.0,0,0,13.0,Adult
0,3,female,28.0,3,1,25.4667,Adult
1,1,female,35.0,1,0,83.475,Adult
0,3,male,29.0,0,0,7.775,Adult
0,2,male,59.0,0,0,13.5,Adult
1,3,female,5.0,4,2,31.3875,Child
0,2,male,24.0,0,0,10.5,Adult
0,3,female,28.0,0,0,7.55,Adult
0,2,male,44.0,1,0,26.0,Adult
1,2,female,8.0,0,2,26.25,Child
0,2,male,19.0,0,0,10.5,Adult
0,2,male,33.0,0,0,12.275,Adult
0,3,female,28.0,1,0,14.4542,Adult
1,3,female,28.0,1,0,15.5,Adult
0,2,male,29.0,0,0,10.5,Adult
0,3,male,22.0,0,0,7.125,Adult
0,3,male,30.0,0,0,7.225,Adult
0,1,male,44.0,2,0,90.0,Adult
0,3,female,25.0,0,0,7.775,Adult
1,2,female,24.0,0,2,14.5,Adult
1,1,male,37.0,1,1,52.5542,Adult
0,2,male,54.0,1,0,26.0,Adult
0,3,male,28.0,0,0,7.25,Adult
0,3,female,29.0,1,1,10.4625,Adult
0,1,male,62.0,0,0,26.55,Elderly
0,3,male,30.0,1,0,16.1,Adult
0,3,female,41.0,0,2,20.2125,Adult
1,3,female,29.0,0,2,15.2458,Adult
1,1,female,28.0,0,0,79.2,Adult
1,1,female,30.0,0,0,86.5,Adult
1,1,female,35.0,0,0,512.3292,Adult
1,2,female,50.0,0,1,26.0,Adult
0,3,male,28.0,0,0,7.75,Adult
1,3,male,3.0,4,2,31.3875,Child
0,1,male,52.0,1,1,79.65,Adult
0,1,male,40.0,0,0,0.0,Adult
0,3,female,28.0,0,0,7.75,Adult
0,2,male,36.0,0,0,10.5,Adult
0,3,male,16.0,4,1,39.6875,Teenager
1,3,male,25.0,1,0,7.775,Adult
1,1,female,58.0,0,1,153.4625,Adult
1,1,female,35.0,0,0,135.6333,Adult
0,1,male,28.0,0,0,31.0,Adult
1,3,male,25.0,0,0,0.0,Adult
1,2,female,41.0,0,1,19.5,Adult
0,1,male,37.0,0,1,29.7,Adult
1,3,female,28.0,0,0,7.75,Adult
1,1,female,63.0,1,0,77.9583,Elderly
0,3,female,45.0,0,0,7.75,Adult
0,2,male,28.0,0,0,0.0,Adult
0,3,male,7.0,4,1,29.125,Child
1,3,female,35.0,1,1,20.25,Adult
0,3,male,65.0,0,0,7.75,Elderly
0,3,male,28.0,0,0,7.8542,Adult
0,3,male,16.0,0,0,9.5,Teenager
1,3,male,19.0,0,0,8.05,Adult
0,1,male,28.0,0,0,26.0,Adult
0,3,male,33.0,0,0,8.6625,Adult
1,3,male,30.0,0,0,9.5,Adult
0,3,male,22.0,0,0,7.8958,Adult
1,2,male,42.0,0,0,13.0,Adult
1,3,female,22.0,0,0,7.75,Adult
1,1,female,26.0,0,0,78.85,Adult
1,1,female,19.0,1,0,91.0792,Adult
0,2,male,36.0,0,0,12.875,Adult
0,3,female,24.0,0,0,8.85,Adult
0,3,male,24.0,0,0,7.8958,Adult
0,1,male,28.0,0,0,27.7208,Adult
0,3,male,23.5,0,0,7.2292,Adult
0,1,female,2.0,1,2,151.55,Child
1,1,male,28.0,0,0,30.5,Adult
1,1,female,50.0,0,1,247.5208,Adult
1,3,female,28.0,0,0,7.75,Adult
1,3,male,28.0,2,0,23.25,Adult
0,3,male,19.0,0,0,0.0,Adult
1,2,female,28.0,0,0,12.35,Adult
0,3,male,28.0,0,0,8.05,Adult
1,1,male,0.92,1,2,151.55,Child
1,1,female,28.0,0,0,110.8833,Adult
1,1,female,17.0,1,0,108.9,Teenager
0,2,male,30.0,1,0,24.0,Adult
1,1,female,30.0,0,0,56.9292,Adult
1,1,female,24.0,0,0,83.1583,Adult
1,1,female,18.0,2,2,262.375,Adult
0,2,female,26.0,1,1,26.0,Adult
0,3,male,28.0,0,0,7.8958,Adult
0,2,male,43.0,1,1,26.25,Adult
1,3,female,26.0,0,0,7.8542,Adult
1,2,female,24.0,1,0,26.0,Adult
0,2,male,54.0,0,0,14.0,Adult
1,1,female,31.0,0,2,164.8667,Adult
1,1,female,40.0,1,1,134.5,Adult
0,3,male,22.0,0,0,7.25,Adult
0,3,male,27.0,0,0,7.8958,Adult
1,2,female,30.0,0,0,12.35,Adult
1,2,female,22.0,1,1,29.0,Adult
0,3,male,28.0,8,2,69.55,Adult
1,1,female,36.0,0,0,135.6333,Adult
0,3,male,61.0,0,0,6.2375,Elderly
1,2,female,36.0,0,0,13.0,Adult
1,3,female,31.0,1,1,20.525,Adult
1,1,female,16.0,0,1,57.9792,Teenager
1,3,female,28.0,2,0,23.25,Adult
0,1,male,45.5,0,0,28.5,Adult
0,1,male,38.0,0,1,153.4625,Adult
0,3,male,16.0,2,0,18.0,Teenager
1,1,female,28.0,1,0,133.65,Adult
0,3,male,28.0,0,0,7.8958,Adult
0,1,male,29.0,1,0,66.6,Adult
1,1,female,41.0,0,0,134.5,Adult
1,3,male,45.0,0,0,8.05,Adult
0,1,male,45.0,0,0,35.5,Adult
1,2,male,2.0,1,1,26.0,Child
1,1,female,24.0,3,2,263.0,Adult
0,2,male,28.0,0,0,13.0,Adult
0,2,male,25.0,0,0,13.0,Adult
0,2,male,36.0,0,0,13.0,Adult
1,2,female,24.0,0,0,13.0,Adult
1,2,female,40.0,0,0,13.0,Adult
1,3,female,28.0,1,0,16.1,Adult
1,3,male,3.0,1,1,15.9,Child
0,3,male,42.0,0,0,8.6625,Adult
0,3,male,23.0,0,0,9.225,Adult
0,1,male,28.0,0,0,35.0,Adult
0,3,male,15.0,1,1,7.2292,Teenager
0,3,male,25.0,1,0,17.8,Adult
0,3,male,28.0,0,0,7.225,Adult
0,3,male,28.0,0,0,9.5,Adult
1,1,female,22.0,0,1,55.0,Adult
0,2,female,38.0,0,0,13.0,Adult
1,3,female,28.0,0,0,7.8792,Adult
1,3,female,28.0,0,0,7.8792,Adult
0,3,male,40.0,1,4,27.9,Adult
0,2,male,29.0,1,0,27.7208,Adult
0,3,female,45.0,0,1,14.4542,Adult
0,3,male,35.0,0,0,7.05,Adult
0,3,male,28.0,1,0,15.5,Adult
0,3,male,30.0,0,0,7.25,Adult
1,1,female,60.0,1,0,75.25,Elderly
1,3,female,28.0,0,0,7.2292,Adult
1,3,female,28.0,0,0,7.75,Adult
1,1,female,24.0,0,0,69.3,Adult
1,1,male,25.0,1,0,55.4417,Adult
0,3,male,18.0,1,0,6.4958,Adult
0,3,male,19.0,0,0,8.05,Adult
0,1,male,22.0,0,0,135.6333,Adult
0,3,female,3.0,3,1,21.075,Child
1,1,female,28.0,1,0,82.1708,Adult
1,3,female,22.0,0,0,7.25,Adult
0,1,male,27.0,0,2,211.5,Adult
0,3,male,20.0,0,0,4.0125,Adult
0,3,male,19.0,0,0,7.775,Adult
1,1,female,42.0,0,0,227.525,Adult
1,3,female,1.0,0,2,15.7417,Child
0,3,male,32.0,0,0,7.925,Adult
1,1,female,35.0,1,0,52.0,Adult
0,3,male,28.0,0,0,7.8958,Adult
0,2,male,18.0,0,0,73.5,Adult
0,3,male,1.0,5,2,46.9,Child
1,2,female,36.0,0,0,13.0,Adult
0,3,male,28.0,0,0,7.7292,Adult
1,2,female,17.0,0,0,12.0,Teenager
1,1,male,36.0,1,2,120.0,Adult
1,3,male,21.0,0,0,7.7958,Adult
0,3,male,28.0,2,0,7.925,Adult
1,1,female,23.0,1,0,113.275,Adult
1,3,female,24.0,0,2,16.7,Adult
0,3,male,22.0,0,0,7.7958,Adult
0,3,female,31.0,0,0,7.8542,Adult
0,2,male,46.0,0,0,26.0,Adult
0,2,male,23.0,0,0,10.5,Adult
1,2,female,28.0,0,0,12.65,Adult
1,3,male,39.0,0,0,7.925,Adult
0,3,male,26.0,0,0,8.05,Adult
0,3,female,21.0,1,0,9.825,Adult
0,3,male,28.0,1,0,15.85,Adult
0,3,female,20.0,0,0,8.6625,Adult
0,2,male,34.0,1,0,21.0,Adult
0,3,male,51.0,0,0,7.75,Adult
1,2,male,3.0,1,1,18.75,Child
0,3,male,21.0,0,0,7.775,Adult
0,3,female,28.0,3,1,25.4667,Adult
0,3,male,28.0,0,0,7.8958,Adult
0,3,male,28.0,0,0,6.8583,Adult
1,1,female,33.0,1,0,90.0,Adult
0,2,male,28.0,0,0,0.0,Adult
1,3,male,44.0,0,0,7.925,Adult
0,3,female,28.0,0,0,8.05,Adult
1,2,female,34.0,1,1,32.5,Adult
1,2,female,18.0,0,2,13.0,Adult
0,2,male,30.0,0,0,13.0,Adult
0,3,female,10.0,0,2,24.15,Child
0,3,male,28.0,0,0,7.8958,Adult
0,3,male,21.0,0,0,7.7333,Adult
0,3,male,29.0,0,0,7.875,Adult
0,3,female,28.0,1,1,14.4,Adult
0,3,male,18.0,1,1,20.2125,Adult
0,3,male,28.0,0,0,7.25,Adult
1,2,female,28.0,1,0,26.0,Adult
1,2,female,19.0,0,0,26.0,Adult
0,3,male,28.0,0,0,7.75,Adult
1,3,male,32.0,0,0,8.05,Adult
1,1,male,28.0,0,0,26.55,Adult
1,3,female,28.0,1,0,16.1,Adult
1,2,female,42.0,1,0,26.0,Adult
0,3,male,17.0,0,0,7.125,Teenager
0,1,male,50.0,1,0,55.9,Adult
1,1,female,14.0,1,2,120.0,Teenager
0,3,female,21.0,2,2,34.375,Adult
1,2,female,24.0,2,3,18.75,Adult
0,1,male,64.0,1,4,263.0,Elderly
0,2,male,31.0,0,0,10.5,Adult
1,2,female,45.0,1,1,26.25,Adult
0,3,male,20.0,0,0,9.5,Adult
0,3,male,25.0,1,0,7.775,Adult
1,2,female,28.0,0,0,13.0,Adult
